,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
3052,6557019,像小强一样活着,2011,['喜剧'],3751,10,2,5.9,28,947,28,28,2183,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3053,6557144,青春期,2011,['剧情'],41383,10,2,4.1,114,2515,114,114,3951,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3054,6558835,镜中迷魂,2011,"['悬疑', '惊悚', '恐怖']",517,10,2,5.1,1,21,1,1,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3055,6560928,乐队,2012,"['剧情', '音乐']",4026,10,2,6.7,4357,459,4357,4357,783,4357,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3056,6601425,与妻书,2012,"['剧情', '爱情']",1153,10,2,5.3,46,10270,3,46,26299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3057,6710796,神马都是浮云,2012,['喜剧'],901,10,2,3.4,7,5891,7,7,9625,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3058,6714088,变身男女,2012,"['剧情', '爱情', '奇幻']",20957,10,2,5.0,5,13584,22,5,23206,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3059,6714122,一号档案守护者,2011,['历史'],133,10,2,6.1,41,385,65,41,426,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3060,6714125,成成烽火之沙沟事件,2011,"['历史', '战争']",69,10,2,5.0,20,1356,1,20,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3061,6717528,帝国刺客,2011,['动作'],261,10,2,2.6,16,1891,16,16,3732,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
