,id,name,year,url,image,datePublished,genre,language,duration,description,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect
1709,26842695,日夜男女,2016,/subject/26842695/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2493079524.webp,2016-07-24,"['喜剧', '爱情']", 汉语普通话,PT1H24M,一对从外地来到北京打拼的陌生男女由于被骗不得已合租一间地下室，并同睡一张床引发的一段啼笑皆非的故事，与其他合租不同的是两人分时段合租，男孩晚上住，女孩白天住。那么两人如何被骗，又是怎样住在一起，女孩晚...,2655,10,2,6.7,8,439,15,8,523,15
1710,26843838,碟仙之毕业照,2017,/subject/26843838/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2440370546.webp,2017-06-09,"['惊悚', '恐怖']", 汉语普通话,PT1H27M,一群即将毕业的大学生，相约前往一个度假村游玩，作为自己的毕业旅行，当众人安顿下来准备好好放松时，却遭遇了一系列离奇的灵异事件。已经意外身亡的男主人公苏亮的初恋女友尹飘飘再度出现在大家的视野中，并对昔日...,1171,10,2,2.3,43,89,43,43,147,45
1711,26844130,击战,2016,/subject/26844130/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2380773681.jpg,2016-09-16,"['剧情', '运动']", 汉语普通话,PT1H38M,一个女儿眼中的Loser老爸，一个神秘“哑巴”球童，四个各自“心怀叵测”的备胎球手，一个强颜欢笑的俱乐部继承人，再加上一个二货代理负责人。看似人生都很失败的五路人马齐聚曾经辉煌无比现在频临倒闭的“奇迹...,375,10,2,4.0,1,4105,0,1,9511,0
1712,26844872,古惑镇激斗少年,2016,/subject/26844872/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372345210.webp,2016-07-27,"['喜剧', '犯罪']", 汉语普通话,PT1H5M,古惑镇里，面子就是一切，桃园老玉明知黎叔有一条全市最大的金龙鱼，竟然养了一只更大的，还大张旗鼓安排自家KTV的头牌芳芳作为伺鱼丫头。一年一度的大佬聚会前，锅巴必须...,150,10,2,5.8,267,8,267,272,8,268
1713,26844905,马赛克少女,2019,/subject/26844905/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560047915.jpg,2019-07-03,"['剧情', '犯罪']", 汉语普通话,PT1H47M,"《马赛克少女》的故事起于一桩社会迷案。西南小镇14岁女孩徐萦因突发状况被卷入旋涡中心，父亲徐广军试图寻回公道却手足无措，来自大城市记者贾世明以外来眼光打量这片迷雾笼罩之地。
影片以人的疏离隔阂及生存空...",634,10,2,5.4,94,6628,94,94,12448,94
1714,26844933,特种兵王,2016,/subject/26844933/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2369816996.webp,2016-08-01,['战争'], 汉语普通话,PT1H0M,影片讲述了侦查英雄嘎子在一次探亲归队途中，勇敢制服一伙劫匪。顺利归队后，遇到了事事与他较劲的二排侦查排长野猫。二人在各种比武中多次较量，不分伯仲。因为要从全军中选拨出年度赴爱尔纳比武的参赛队伍，军演中...,171,10,2,4.4,1,360,360,1,617,360
1715,26845384,蜜月计划,2017,/subject/26845384/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2497810764.webp,2017-09-08,"['喜剧', '爱情']", 汉语普通话,PT1H33M,"不打不相识的周北北（陈燃 饰）和王嘉树（孙坚 饰）成为了恋人，在火速订婚后决定前往德国天鹅堡开始蜜月旅行。
然而，周北北的闺蜜们担心两人结婚只是一时冲动，遂私下决定要帮助北北验证嘉树是否靠谱。二人的蜜...",336,10,2,2.5,11,441,19,11,1425,37
1716,26846764,触碰,2016,/subject/26846764/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2370655516.jpg,2016-07-30,"['剧情', '爱情']", 汉语普通话,PT1H17M,"路梓晴在21岁生日当天突然发病。住院期间没有想到男友也离开了她。生病的路梓晴受到了身体和心灵的双重打击。她最要好的朋友陈简飞和许念决定为了她做点什么。
陈简飞和许念按照路梓晴喜欢的汽车模型样子改造了一...",109,10,2,4.3,19,3,19,19,3,19
1717,26847523,盲少爷的小女仆,2016,/subject/26847523/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2370881529.webp,2016-08-03,['爱情'], 汉语普通话,PT1H44M,女孩阮清恬（冯芷墨 饰）有着十分悲惨的身世，自幼失去了母亲的她过着寄人篱下的生活，继母将她派往名为任浩铭（刘泯延 饰）的总裁身边，成为了照顾他衣食起居的小小助理。任浩铭因为患有眼疾而失去了视力，性格因...,604,10,2,3.3,13,100,0,13,166,0
1718,26847641,爱在星空下,2016,/subject/26847641/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2387138717.jpg,2016-08-26,"['剧情', '爱情']", 汉语普通话,PT1H33M,"子妍（江若琳饰）在车站打电话让室友阮软（叶新晨饰）来接，中途电话没电关机，阮软因事未能前往。子妍偶遇摩卡（陆昱霖饰）弹吉他卖唱，并在其关心下产生情愫。
勤工俭学的子妍在老师王子苑（马德钟饰）推荐下进入...",237,10,2,2.6,1,762,1,1,1906,1
